application_id,tag
5097808c-4445-4f00-a54e-3c3f2c1c0d30,AI技术层
566b597c-cd7e-4f8f-a765-e579c1451412,AI技术层
a95416f5-9e4e-4303-bb90-1ca54fd0ae40,AI基础层
a1f97b0b-36d2-4d4a-b9f0-6dc4820b42ce,AI行业应用
9fd2276b-ef71-4934-971b-08e90e9302ef,AI技术层
00d7e9ac-1eb6-4652-9345-1eade3720e2e,AI行业应用
25f19022-4576-4bb7-8cba-f66b8b0ef332,AI行业应用
4edc7241-4e82-4a95-afef-f5cfcf17a689,AI技术层
d35307a9-0d7b-4e1e-9e57-3e274583106f,AI技术层
83d4f88e-14d7-4c56-8024-03d24a843340,AI技术层
db7a0d14-52b5-4864-a071-3e4b12dd24ee,AI行业应用
653032d3-d26f-47b9-835c-c1b11268d3d9,AI行业应用
edcfa041-ec38-45ac-886d-fcdc8dd4f43c,AI行业应用
5807b49e-0729-4110-93d1-ed62c3b1005e,AI技术层
581ae7a4-dc7a-47c0-b450-b78f798d6816,AI行业应用
60730ec7-8b74-40d1-b80e-3d021b4c004b,AI技术层
9b03ba40-81e5-4f23-b91f-fa477c475cd7,AI行业应用
0fa898d6-d8a6-4978-ac46-b031e84399ca,AI技术层
3339ef35-f1df-4856-98b2-727dbdc66a1e,AI行业应用
383dfcb6-cd54-4328-943d-a3239588464d,AI行业应用
d7f3758e-e1bd-4252-9b2b-51d034b84b83,AI技术层
38690e45-81b9-4527-afc9-eae7101fc876,AI行业应用
2d351afd-7023-4cc6-912a-669de21e4e55,AI行业应用
e16a20d5-5397-4c46-8c21-c975f4fb8c68,AI行业应用
5bca6548-7f55-4682-8d7d-f7feda522c8e,AI技术层
acd5dcbd-6451-4658-be23-102699c737bd,AI行业应用
13ef3f5a-fb3e-46c9-ad1d-aefc5c17bcc5,AI行业应用
e6e7bf67-a2a0-4d67-a0cf-137d4c6dde87,AI技术层
3fa5a381-57cf-40a7-ac29-5c306293a346,AI技术层
d98b6a3c-c90a-4137-a775-1c046a95146a,AI技术层
e393b3a3-8ff0-4020-ace7-5cc271b0cd56,AI技术层
5283fa31-9971-4785-b4b8-6d0bf606cf46,AI基础层
c0806336-1fe8-4bdc-ade6-945ea9f40461,AI行业应用
cb615c21-f298-452d-a5b9-a027e178db90,AI技术层
c1686938-147b-4860-8a8f-fd0ee7ba7505,AI行业应用
c1efbd66-556f-4076-974d-db5d68038cba,AI行业应用
85ff6567-2791-41b0-9cdf-3a8e03b3d91f,AI通用应用
b76413c0-246c-4b86-84bc-674f1b56701c,AI行业应用
8b98efb8-0bb1-47b3-9741-79faebf042e5,AI行业应用
b1dccd78-214b-450e-8c91-8a7588239769,AI行业应用
56cd2a6c-1043-4fa4-b65b-4b2767634312,AI行业应用
dd01739d-0204-4414-a7e2-373a391f6d25,AI行业应用
96d21c55-4249-4858-bf64-0c3b9078586d,AI行业应用
0f69e936-6b9f-4e7e-a0cf-1063886fdd41,AI行业应用
8f96f090-aa1b-493e-a004-c6445129e9d6,AI行业应用
89079823-fbac-4561-9732-192c47baac3a,AI技术层
34116efe-5826-4473-9e1a-50963860a160,AI行业应用
8cfb82a1-050d-4a63-96a1-2e3395778186,AI技术层
903d3a70-706c-4087-aad1-fdac9c9379a2,AI行业应用
dc9453ad-7116-4723-a3d4-61fdd82b062f,AIGC
738a99ab-76bd-4f76-b573-3b734b75e25f,AI行业应用
7cb3ffa8-555e-43d6-a003-467741609b9b,AI行业应用
2f042eca-2aed-40e5-98f2-83ac0b80ebef,AI基础层
3b445aae-3810-4fdb-9210-5bf23ee2bb1d,AI行业应用
69729450-ede7-404b-b71d-9bbc7fb3a873,AI行业应用
c0c7cdd8-091e-44d0-b76a-35f97102421f,AI技术层
72ec27cc-e561-4cd2-85a3-c765afe62e1b,AI行业应用
7e54fdf9-a206-4958-9f2f-5a3f9d0c9db9,AI行业应用
6bfad417-d4b9-417a-8b8f-29684e33df74,AI技术层
c298b134-c207-4410-97c2-6d948e929b88,AI基础层
5097808c-4445-4f00-a54e-3c3f2c1c0d30,Seed
566b597c-cd7e-4f8f-a765-e579c1451412,Seed
a95416f5-9e4e-4303-bb90-1ca54fd0ae40,Seed
a1f97b0b-36d2-4d4a-b9f0-6dc4820b42ce,Seed
9fd2276b-ef71-4934-971b-08e90e9302ef,Seed
00d7e9ac-1eb6-4652-9345-1eade3720e2e,Seed
25f19022-4576-4bb7-8cba-f66b8b0ef332,Seed
4edc7241-4e82-4a95-afef-f5cfcf17a689,Seed
d35307a9-0d7b-4e1e-9e57-3e274583106f,Seed
83d4f88e-14d7-4c56-8024-03d24a843340,Seed
db7a0d14-52b5-4864-a071-3e4b12dd24ee,Seed
653032d3-d26f-47b9-835c-c1b11268d3d9,Seed
edcfa041-ec38-45ac-886d-fcdc8dd4f43c,Seed
5807b49e-0729-4110-93d1-ed62c3b1005e,Seed
581ae7a4-dc7a-47c0-b450-b78f798d6816,Seed
60730ec7-8b74-40d1-b80e-3d021b4c004b,Seed
9b03ba40-81e5-4f23-b91f-fa477c475cd7,Seed
0fa898d6-d8a6-4978-ac46-b031e84399ca,Seed
3339ef35-f1df-4856-98b2-727dbdc66a1e,Seed
383dfcb6-cd54-4328-943d-a3239588464d,Seed
d7f3758e-e1bd-4252-9b2b-51d034b84b83,A Series
38690e45-81b9-4527-afc9-eae7101fc876,A Series
2d351afd-7023-4cc6-912a-669de21e4e55,A Series
e16a20d5-5397-4c46-8c21-c975f4fb8c68,A Series
5bca6548-7f55-4682-8d7d-f7feda522c8e,A Series
acd5dcbd-6451-4658-be23-102699c737bd,A Series
13ef3f5a-fb3e-46c9-ad1d-aefc5c17bcc5,A Series
e6e7bf67-a2a0-4d67-a0cf-137d4c6dde87,A Series
3fa5a381-57cf-40a7-ac29-5c306293a346,A Series
d98b6a3c-c90a-4137-a775-1c046a95146a,A Series
e393b3a3-8ff0-4020-ace7-5cc271b0cd56,A Series
5283fa31-9971-4785-b4b8-6d0bf606cf46,A Series
c0806336-1fe8-4bdc-ade6-945ea9f40461,A Series
cb615c21-f298-452d-a5b9-a027e178db90,A Series
c1686938-147b-4860-8a8f-fd0ee7ba7505,A Series
c1efbd66-556f-4076-974d-db5d68038cba,A Series
85ff6567-2791-41b0-9cdf-3a8e03b3d91f,A Series
b76413c0-246c-4b86-84bc-674f1b56701c,A Series
8b98efb8-0bb1-47b3-9741-79faebf042e5,A Series
b1dccd78-214b-450e-8c91-8a7588239769,A Series
56cd2a6c-1043-4fa4-b65b-4b2767634312,B Series
dd01739d-0204-4414-a7e2-373a391f6d25,B Series
96d21c55-4249-4858-bf64-0c3b9078586d,B Series
0f69e936-6b9f-4e7e-a0cf-1063886fdd41,B Series
8f96f090-aa1b-493e-a004-c6445129e9d6,B Series
89079823-fbac-4561-9732-192c47baac3a,B Series
34116efe-5826-4473-9e1a-50963860a160,B Series
8cfb82a1-050d-4a63-96a1-2e3395778186,B Series
903d3a70-706c-4087-aad1-fdac9c9379a2,B Series
dc9453ad-7116-4723-a3d4-61fdd82b062f,B Series
738a99ab-76bd-4f76-b573-3b734b75e25f,B Series
7cb3ffa8-555e-43d6-a003-467741609b9b,B Series
2f042eca-2aed-40e5-98f2-83ac0b80ebef,B Series
3b445aae-3810-4fdb-9210-5bf23ee2bb1d,B Series
69729450-ede7-404b-b71d-9bbc7fb3a873,B Series
c0c7cdd8-091e-44d0-b76a-35f97102421f,B Series
72ec27cc-e561-4cd2-85a3-c765afe62e1b,B Series
7e54fdf9-a206-4958-9f2f-5a3f9d0c9db9,B Series
6bfad417-d4b9-417a-8b8f-29684e33df74,B Series
c298b134-c207-4410-97c2-6d948e929b88,B Series
5097808c-4445-4f00-a54e-3c3f2c1c0d30,0-100M
566b597c-cd7e-4f8f-a765-e579c1451412,0-100M
a95416f5-9e4e-4303-bb90-1ca54fd0ae40,10B+
a1f97b0b-36d2-4d4a-b9f0-6dc4820b42ce,0-100M
9fd2276b-ef71-4934-971b-08e90e9302ef,0-100M
00d7e9ac-1eb6-4652-9345-1eade3720e2e,0-100M
25f19022-4576-4bb7-8cba-f66b8b0ef332,0-100M
4edc7241-4e82-4a95-afef-f5cfcf17a689,0-100M
d35307a9-0d7b-4e1e-9e57-3e274583106f,100M-200M
83d4f88e-14d7-4c56-8024-03d24a843340,0-100M
db7a0d14-52b5-4864-a071-3e4b12dd24ee,0-100M
653032d3-d26f-47b9-835c-c1b11268d3d9,0-100M
edcfa041-ec38-45ac-886d-fcdc8dd4f43c,100M-200M
5807b49e-0729-4110-93d1-ed62c3b1005e,0-100M
581ae7a4-dc7a-47c0-b450-b78f798d6816,0-100M
60730ec7-8b74-40d1-b80e-3d021b4c004b,0-100M
9b03ba40-81e5-4f23-b91f-fa477c475cd7,0-100M
0fa898d6-d8a6-4978-ac46-b031e84399ca,100M-200M
3339ef35-f1df-4856-98b2-727dbdc66a1e,0-100M
383dfcb6-cd54-4328-943d-a3239588464d,0-100M
d7f3758e-e1bd-4252-9b2b-51d034b84b83,300M-400M
38690e45-81b9-4527-afc9-eae7101fc876,200M-300M
2d351afd-7023-4cc6-912a-669de21e4e55,0-100M
e16a20d5-5397-4c46-8c21-c975f4fb8c68,300M-400M
5bca6548-7f55-4682-8d7d-f7feda522c8e,0-100M
acd5dcbd-6451-4658-be23-102699c737bd,100M-200M
13ef3f5a-fb3e-46c9-ad1d-aefc5c17bcc5,100M-200M
e6e7bf67-a2a0-4d67-a0cf-137d4c6dde87,0-100M
3fa5a381-57cf-40a7-ac29-5c306293a346,100M-200M
d98b6a3c-c90a-4137-a775-1c046a95146a,100M-200M
e393b3a3-8ff0-4020-ace7-5cc271b0cd56,300M-400M
5283fa31-9971-4785-b4b8-6d0bf606cf46,300M-400M
c0806336-1fe8-4bdc-ade6-945ea9f40461,0-100M
cb615c21-f298-452d-a5b9-a027e178db90,200M-300M
c1686938-147b-4860-8a8f-fd0ee7ba7505,100M-200M
c1efbd66-556f-4076-974d-db5d68038cba,100M-200M
85ff6567-2791-41b0-9cdf-3a8e03b3d91f,0-100M
b76413c0-246c-4b86-84bc-674f1b56701c,0-100M
8b98efb8-0bb1-47b3-9741-79faebf042e5,100M-200M
b1dccd78-214b-450e-8c91-8a7588239769,300M-400M
56cd2a6c-1043-4fa4-b65b-4b2767634312,100M-200M
dd01739d-0204-4414-a7e2-373a391f6d25,100M-200M
96d21c55-4249-4858-bf64-0c3b9078586d,500M-600M
0f69e936-6b9f-4e7e-a0cf-1063886fdd41,10B+
8f96f090-aa1b-493e-a004-c6445129e9d6,300M-400M
89079823-fbac-4561-9732-192c47baac3a,300M-400M
34116efe-5826-4473-9e1a-50963860a160,200M-300M
8cfb82a1-050d-4a63-96a1-2e3395778186,300M-400M
903d3a70-706c-4087-aad1-fdac9c9379a2,200M-300M
dc9453ad-7116-4723-a3d4-61fdd82b062f,1B-2B
738a99ab-76bd-4f76-b573-3b734b75e25f,300M-400M
7cb3ffa8-555e-43d6-a003-467741609b9b,600M-700M
2f042eca-2aed-40e5-98f2-83ac0b80ebef,600M-700M
3b445aae-3810-4fdb-9210-5bf23ee2bb1d,200M-300M
69729450-ede7-404b-b71d-9bbc7fb3a873,400M-500M
c0c7cdd8-091e-44d0-b76a-35f97102421f,3B-4B
72ec27cc-e561-4cd2-85a3-c765afe62e1b,100M-200M
7e54fdf9-a206-4958-9f2f-5a3f9d0c9db9,200M-300M
6bfad417-d4b9-417a-8b8f-29684e33df74,200M-300M
c298b134-c207-4410-97c2-6d948e929b88,1B-2B
